"job_title_short","skills","skill_count","total_jobs","skill_percentage"
"Data Analyst","sql","92628","196593","47.1"
"Data Analyst","excel","67031","196593","34.1"
"Data Analyst","python","57326","196593","29.2"
"Data Analyst","tableau","46554","196593","23.7"
"Data Analyst","power bi","39468","196593","20.1"
"Data Engineer","sql","113375","186679","60.7"
"Data Engineer","python","108265","186679","58.0"
"Data Engineer","aws","62174","186679","33.3"
"Data Engineer","azure","60823","186679","32.6"
"Data Engineer","spark","53789","186679","28.8"
"Data Scientist","python","114016","172726","66.0"
"Data Scientist","sql","79174","172726","45.8"
"Data Scientist","r","59754","172726","34.6"
"Data Scientist","sas","29642","172726","17.2"
"Data Scientist","tableau","29513","172726","17.1"
